size,time,NF_err
1024x3000x1024,26.835000,146999174.1950495839
768x3333x768,8.534000,834869148.6667540073
64x490x64,0.006000,6874294.3427105360
128x200x128,0.011000,13067180.3614328690
256x500x256,0.061000,34569319.7314136550
512x750x512,0.793000,72650527.9944869131
178x1000x178,0.048000,27352711.7321710847
1024x3000x1024,23.248000,99956672.2923046201
768x3333x768,9.279000,832779402.8133965731
64x490x64,0.003000,7586628.3333560545
128x200x128,0.009000,5911418.4522773735
256x500x256,0.065000,31783311.0022445358
512x750x512,0.668000,58540157.4530374482
178x1000x178,0.043000,30971156.9866393022
1024x3000x1024,25.945000,103746801.1845658720
768x3333x768,18.625000,835488944.1780692339
64x490x64,0.011000,19718628.2191106081
128x200x128,0.029000,5122299.9685182152
256x500x256,0.186000,13970530.4319369309
512x750x512,1.606000,81466142.0907672048
178x1000x178,0.133000,20619451.1240770817
1024x3000x1024,26.087000,104710895.3915444016
768x3333x768,8.168000,843658887.7715991735
64x490x64,0.003000,24253901.4759434722
128x200x128,0.009000,18120626.4935431555
256x500x256,0.066000,59862452.7469878122
512x750x512,0.588000,55864022.3695199341
178x1000x178,0.042000,32820412.6366242245
1024x3000x1024,19.965000,67832222.5201956481
768x3333x768,9.970000,830832456.1252880096
64x490x64,0.006000,6973530.1417386709
128x200x128,0.010000,26648004.4554429241
256x500x256,0.078000,32618822.0371942110
512x750x512,0.700000,76954694.6072362661
178x1000x178,0.087000,45528100.8300212994
1024x3000x1024,22.099000,101670799.2786980122
768x3333x768,9.695000,845296134.4784456491
64x490x64,0.005000,23997942.4030320123
128x200x128,0.019000,8582198.4942706600
256x500x256,0.067000,33236193.5423416495
512x750x512,0.784000,31925584.9867475405
178x1000x178,0.045000,32138251.8035817705
1024x3000x1024,23.615000,194099121.4216760099
768x3333x768,10.806000,855421210.3175849915
64x490x64,0.005000,13496162.4212883823
128x200x128,0.008000,6777715.4159186799
256x500x256,0.080000,18984553.0952105485
512x750x512,0.653000,106805951.8633697331
178x1000x178,0.042000,38766715.7239456326
1024x3000x1024,21.381000,71414432.7340639234
768x3333x768,9.616000,845249169.5468419790
64x490x64,0.005000,12461595.4884597920
128x200x128,0.012000,13713369.7175727487
256x500x256,0.065000,54090323.1658437923
512x750x512,0.641000,31889117.9845742024
178x1000x178,0.044000,25922557.1489934176
1024x3000x1024,24.298000,305997141.4590370655
768x3333x768,9.195000,808816560.1948580742
64x490x64,0.004000,7327562.9310047738
128x200x128,0.012000,8242486.5225211158
256x500x256,0.130000,53051383.6419459432
512x750x512,0.735000,44742094.6810336113
178x1000x178,0.043000,21752206.7927934490
1024x3000x1024,22.313000,134598635.9389670193
768x3333x768,9.999000,827317018.2422215939
64x490x64,0.005000,9426537.2200993299
128x200x128,0.009000,8710343.5144422073
256x500x256,0.072000,20177242.6288338713
512x750x512,0.673000,28090946.9994964749
178x1000x178,0.042000,37470851.5431132913
