number_of_computed,broadcast_time,common_time,dns_time
3000x1024x1024,23.663000,7.922000,3.900000
3333x768x768,15.526000,4.331000,2.318000
490x64x64,0.016000,0.007000,0.005000
200x128x128,0.000000,0.000000,0.018000
500x256x256,0.039000,0.033000,0.025000
750x512x512,0.181000,0.192000,0.123000
1000x178x178,0.036000,0.054000,0.034000
3000x1024x1024,24.288000,8.904000,4.228000
3333x768x768,15.358000,4.903000,2.701000
490x64x64,0.005000,0.000000,0.002000
200x128x128,0.003000,0.002000,0.002000
500x256x256,0.035000,0.038000,0.026000
750x512x512,0.148000,0.125000,0.117000
1000x178x178,0.032000,0.046000,0.029000
3000x1024x1024,20.418000,7.343000,3.759000
3333x768x768,20.612000,6.376000,3.212000
490x64x64,0.003000,0.006000,0.002000
200x128x128,0.006000,0.007000,0.000000
500x256x256,0.023000,0.021000,0.018000
750x512x512,0.129000,0.138000,0.124000
1000x178x178,0.029000,0.035000,0.023000
